,Neutrogena Ultra Sheer,La Roche-Posay Anthelios,CeraVe sunscreen,Supergoop Unseen
Jan,4.181818181818182,6.545454545454546,26.5,6.181818181818182
Feb,6.15,8.45,31.7,7.5
Mar,9.5,10.125,44.458333333333336,10.375
Apr,11.0,5.714285714285714,44.476190476190474,13.523809523809524
May,14.045454545454545,6.818181818181818,52.22727272727273,15.772727272727273
Jun,15.681818181818182,8.136363636363637,53.81818181818182,15.090909090909092
Jul,18.40909090909091,12.318181818181818,46.22727272727273,13.909090909090908
Aug,8.590909090909092,6.181818181818182,33.45454545454545,9.0
Sep,5.571428571428571,3.0,23.61904761904762,6.0476190476190474
Oct,4.0,3.391304347826087,19.73913043478261,4.869565217391305
Nov,4.523809523809524,7.9523809523809526,22.61904761904762,6.714285714285714
Dec,4.0,6.409090909090909,22.363636363636363,5.909090909090909
