geoName,Neutrogena Ultra Sheer,La Roche-Posay Anthelios,CeraVe sunscreen,Supergoop Unseen
Kansas,25,24,39,12
Wisconsin,21,20,48,11
Hawaii,19,23,58,0
Nebraska,16,26,58,0
Oklahoma,16,23,60,1
Florida,15,26,48,11
Colorado,15,22,51,12
Maryland,15,21,50,14
Kentucky,15,16,59,10
District of Columbia,15,25,39,21
Washington,15,25,47,13
Mississippi,15,19,66,0
Missouri,15,21,52,12
Texas,15,23,51,11
Pennsylvania,15,20,51,14
California,15,27,45,13
Indiana,14,24,48,14
Wyoming,14,51,35,0
Virginia,14,27,47,12
New York,14,26,46,14
North Carolina,14,22,52,12
Minnesota,14,21,50,15
Oregon,14,23,52,11
Ohio,13,24,51,12
Utah,13,25,51,11
Nevada,13,25,51,11
Massachusetts,13,24,51,12
Connecticut,13,27,46,14
Georgia,13,25,48,14
Arizona,12,23,55,10
New Jersey,12,23,51,14
Michigan,12,25,52,11
Illinois,12,23,52,13
Alabama,11,17,63,9
Iowa,11,29,60,0
Arkansas,11,19,55,15
South Carolina,11,21,56,12
Tennessee,10,24,54,12
Louisiana,8,26,57,9
Rhode Island,1,40,59,0
New Mexico,1,34,65,0
Alaska,0,0,100,0
Delaware,0,25,75,0
Idaho,0,27,73,0
New Hampshire,0,28,72,0
Maine,0,33,67,0
Montana,0,0,100,0
North Dakota,0,54,46,0
South Dakota,0,0,100,0
Vermont,0,0,100,0
West Virginia,0,34,66,0
